songs,,happy,sad,romance,fast
Memories,,3,8,1,1
Closer,,7,0,9,3
Rap God,,6,2,0,10
Steal My Girl,,8,1,8,6
Love Me Like You Do,,7,1,8,7
2U,,8,1,7,7
Lose Yourself,,5,3,0,7
Summer of ’69,,8,0,2,8
Hey Jude,,6,4,7,3
Paper Cut,,4,4,0,9
The Nights,,8,1,2,8
Photograph,,3,7,8,2
You Belong With Me,,6,2,7,7
Taki Taki,,8,0,6,6
What Do You Mean,,7,3,6,3
Shape Of You,,8,1,9,6
Love the way you lie,,1,9,2,7
Cheap Thrills,,10,0,4,5
Thinking Out Loud,,5,4,10,2
Legendary,,7,2,0,4
Electricity,,6,1,2,7
Careless Whisper,,2,8,10,6
Astronomia,,5,0,1,10
Sweet Child O’ Mine,,6,5,7,7
Baby,,8,3,8,5
Sweet Home Alabama,,7,4,6,7
Not Afraid,,5,3,0,9
Low,,8,0,3,9
Hymm For The Weekend,,9,2,5,8
Zombie,,1,6,2,1
All The Stars,,0,6,0,7
Hotline Bling,,0,7,4,1
All Of Me,,6,0,7,0
Star Boy,,0,3,0,4
Zedd,,4,5,7,8
Believer,,8,0,0,5
On My Way,,6,0,0,8
Perfect,,9,0,10,2
Faded,,1,7,7,7
Lean On,,8,0,7,9
I Like Me Better,,8,0,9,6
Running After You,,8,0,9,3
I Believe In You,,8,0,8,4
You are Loved,,8,0,9,4
Havana,,8,0,6,6
Payphone,,5,0,7,8
Hips Don't Lie,,7,2,5,6
Can We Kiss Forever?,,3,5,3,4
Dancin,,5,0,5,8
Cradles,,0,7,0,4
Dance Monkey,,4,2,6,5
La La La,,6,3,0,5
Elastic Heart,,5,1,2,6
Faith,,6,3,0,7
Physical,,6,1,4,8
We Don't Talk Anymore,,3,5,6,7
Youth,,7,5,0,3
Shallow,,5,4,6,4
Someone You Loved,,3,6,3,3
Girls Like You,,7,3,6,5